hidden_size,n_layers,learning_rate,normalized_output,Objective,loss,moving_average,weighting_scheme
2048,12,0.0001,True,MSELoss,uniform,2.014407527894946e-06,[inf]
2048,12,0.0001,True,L1Loss,dirichlet,0.0072872452437877655,[0.01007677]
2048,12,0.0001,True,L1Loss,uniform,0.0008087062742561102,[3.63797881e+08]
2048,12,0.0001,False,MSELoss,dirichlet,1.7647147387833684e-06,[2.38478666e-06]
2048,12,0.0001,False,MSELoss,uniform,1.6488369283251814e-06,[8.64768209e-05]
2048,12,0.0001,False,L1Loss,dirichlet,0.0006958904559724033,[0.00085245]
2048,12,0.0001,False,L1Loss,uniform,0.000631041475571692,[0.02198535]
2048,12,1e-05,True,MSELoss,dirichlet,2.6433224320498994e-06,[6.72456648e-06]
2048,12,1e-05,True,MSELoss,uniform,2.270288177896873e-06,[2.39441138e-06]
2048,12,1e-05,True,L1Loss,dirichlet,0.0005463704583235085,[0.00060985]
2048,12,1e-05,True,L1Loss,uniform,0.0006262148381210864,[0.04311645]
2048,12,1e-05,False,MSELoss,dirichlet,4.5492461708818155e-07,[2.11621531e-06]
2048,12,1e-05,False,MSELoss,uniform,1.0428190080347122e-06,[0.67762782]
2048,12,1e-05,False,L1Loss,dirichlet,0.00034679705277085304,[0.00039642]
2048,12,1e-05,False,L1Loss,uniform,0.00040527881355956197,[0.00055394]
2048,9,0.001,True,MSELoss,dirichlet,[1.e+20],[1.e+20]
2048,9,0.001,True,MSELoss,uniform,[1.e+20],[1.e+20]
2048,9,0.001,True,L1Loss,dirichlet,[1.e+20],[1.e+20]
2048,9,0.001,True,L1Loss,uniform,[1.e+20],[1.e+20]
2048,9,0.001,False,MSELoss,dirichlet,0.023334573954343796,[5.e+19]
2048,9,0.001,False,MSELoss,uniform,0.02531396970152855,[5.e+19]
2048,9,0.001,False,L1Loss,dirichlet,0.08049111813306808,[5.e+19]
2048,9,0.001,False,L1Loss,uniform,0.08592923730611801,[5.e+19]
2048,9,0.0001,True,MSELoss,dirichlet,0.0017629475332796574,[5.96539939e+12]
2048,9,0.0001,True,MSELoss,uniform,0.0026971162296831608,[1.25e+19]
2048,9,0.0001,True,L1Loss,dirichlet,0.011262134648859501,[2.9103834e+09]
2048,9,0.0001,True,L1Loss,uniform,0.003459795843809843,[45474735.88429599]
2048,9,0.0001,False,MSELoss,dirichlet,4.094996768344572e-07,[7.48205514e-07]
2048,9,0.0001,False,MSELoss,uniform,3.4634351209206216e-07,[7.02486719e-07]
2048,9,0.0001,False,L1Loss,dirichlet,0.00040864208131097257,[0.00115688]
2048,9,0.0001,False,L1Loss,uniform,0.00033368091681040823,[0.00041712]
2048,9,1e-05,True,MSELoss,dirichlet,0.0006793466745875776,[16.93522626]
2048,9,1e-05,True,MSELoss,uniform,0.00015933210670482367,[5.42128019]
2048,9,1e-05,True,L1Loss,dirichlet,0.0004480604256968945,[0.00053223]
2048,9,1e-05,True,L1Loss,uniform,0.00032557276426814497,[0.00041113]
2048,9,1e-05,False,MSELoss,dirichlet,3.867299653848022e-07,[1.27214714e-06]
2048,9,1e-05,False,MSELoss,uniform,4.829062163480558e-07,[8.72526515e-07]
2048,9,1e-05,False,L1Loss,dirichlet,0.000287520291749388,[0.0003517]
2048,9,1e-05,False,L1Loss,uniform,0.0003219888312742114,[0.00045293]
2048,6,0.001,True,MSELoss,dirichlet,[1.e+20],[1.e+20]
2048,6,0.001,True,MSELoss,uniform,[1.e+20],[1.e+20]
2048,6,0.001,True,L1Loss,dirichlet,[1.e+20],[1.e+20]
2048,6,0.001,True,L1Loss,uniform,[1.e+20],[1.e+20]
2048,6,0.001,False,MSELoss,dirichlet,0.045385994017124176,[5.e+19]
2048,6,0.001,False,MSELoss,uniform,0.03667779266834259,[5.e+19]
2048,6,0.001,False,L1Loss,dirichlet,0.08979152888059616,[5.e+19]
2048,6,0.001,False,L1Loss,uniform,0.12973995506763458,[5.e+19]
2048,6,0.0001,True,MSELoss,dirichlet,0.006558781024068594,[5.e+19]
2048,6,0.0001,True,MSELoss,uniform,0.007721006870269775,[5.e+19]
2048,6,0.0001,True,L1Loss,dirichlet,0.022980529814958572,[2.5e+19]
2048,6,0.0001,True,L1Loss,uniform,0.015340883284807205,[1.25e+19]
2048,6,0.0001,False,MSELoss,dirichlet,0.20099571347236633,[5.e+19]
2048,6,0.0001,False,MSELoss,uniform,0.2013292759656906,[5.e+19]
2048,6,0.0001,False,L1Loss,dirichlet,0.11824973672628403,[1.25e+19]
2048,6,0.0001,False,L1Loss,uniform,0.08672715723514557,[2.5e+19]
2048,6,1e-05,True,MSELoss,dirichlet,0.0007234069635160267,[2777.8217481]
2048,6,1e-05,True,MSELoss,uniform,0.0004949528374709189,[0.08545741]
2048,6,1e-05,True,L1Loss,dirichlet,0.0021843158174306154,[45474735.09139879]
2048,6,1e-05,True,L1Loss,uniform,0.0025559363421052694,[2.71498789]
2048,6,1e-05,False,MSELoss,dirichlet,1.7244939954252914e-05,[7.62939453e+14]
2048,6,1e-05,False,MSELoss,uniform,5.4354175517801195e-05,[1.953125e+17]
2048,6,1e-05,False,L1Loss,dirichlet,0.00028582598315551877,[0.00041297]
2048,6,1e-05,False,L1Loss,uniform,0.00028128831763751805,[0.00039403]
2048,3,0.001,True,MSELoss,dirichlet,[1.e+20],[1.e+20]
2048,3,0.001,True,MSELoss,uniform,[1.e+20],[1.e+20]
2048,3,0.001,True,L1Loss,dirichlet,[1.e+20],[1.e+20]
2048,3,0.001,True,L1Loss,uniform,[1.e+20],[1.e+20]
2048,3,0.001,False,MSELoss,dirichlet,[1.e+20],[1.e+20]
2048,3,0.001,False,MSELoss,uniform,[1.e+20],[1.e+20]
2048,3,0.001,False,L1Loss,dirichlet,[1.e+20],[1.e+20]
2048,3,0.001,False,L1Loss,uniform,[1.e+20],[1.e+20]
2048,3,0.0001,True,MSELoss,dirichlet,[1.e+20],[1.e+20]
2048,3,0.0001,True,MSELoss,uniform,[1.e+20],[1.e+20]
2048,3,0.0001,True,L1Loss,dirichlet,0.014411034993827343,[inf]
2048,3,0.0001,True,L1Loss,uniform,0.010184785351157188,[inf]
2048,3,0.0001,False,MSELoss,dirichlet,[1.e+20],[1.e+20]
2048,3,0.0001,False,MSELoss,uniform,[1.e+20],[1.e+20]
2048,3,0.0001,False,L1Loss,dirichlet,[1.e+20],[1.e+20]
2048,3,0.0001,False,L1Loss,uniform,0.011263039894402027,[inf]
2048,3,1e-05,True,MSELoss,dirichlet,0.0009581456542946398,[1.81898941e+08]
2048,3,1e-05,True,MSELoss,uniform,0.00040867782081477344,[0.00050202]
2048,3,1e-05,True,L1Loss,dirichlet,0.001790776732377708,[2.01533461]
2048,3,1e-05,True,L1Loss,uniform,0.002613647608086467,[45474735.09269792]
2048,3,1e-05,False,MSELoss,dirichlet,[1.e+20],[1.e+20]
2048,3,1e-05,False,MSELoss,uniform,[1.e+20],[1.e+20]
2048,3,1e-05,False,L1Loss,dirichlet,[1.e+20],[1.e+20]
2048,3,1e-05,False,L1Loss,uniform,[1.e+20],[1.e+20]
1024,15,0.001,True,MSELoss,dirichlet,0.006933893542736769,[5.e+19]
1024,15,0.001,True,MSELoss,uniform,0.008117172867059708,[5.e+19]
1024,15,0.001,True,L1Loss,dirichlet,0.04426988214254379,[5.e+19]
1024,15,0.001,True,L1Loss,uniform,0.0007876273011788726,[0.00099754]
1024,15,0.001,False,MSELoss,dirichlet,2.408650288998615e-06,[0.01059329]
1024,15,0.001,False,MSELoss,uniform,2.9002449082327075e-06,[2.38418579e+13]
1024,15,0.001,False,L1Loss,dirichlet,0.0008515564841218293,[0.00645149]
1024,15,0.001,False,L1Loss,uniform,0.0007716707768850029,[0.00090018]
